,url,language,text,surprise,sadness
0,https://www.snopes.com/fact-check/octopus-fossil-named-biden/,en,Scientists named an extinct relative of the octopus after U,0.0,0.2
1,https://www.snopes.com/fact-check/shoes-foil-spy-hunters/,en,The story goes about a Herr Wolf from a shoe import firm who got tired about people always complaining about new shoe collections so he made these shoes with the heels at the front,0.0,0.5
2,https://www.snopes.com/fact-check/bill-clinton-meeting-jfk/,en," Parade quoted a longer excerpt, giving more detail about where Clinton was when he got the news:",0.33,0.0
3,https://www.snopes.com/fact-check/russia-sanction-republicans/,en," In the March 15 news release, the Foreign Ministry warned:",0.25,0.0
4,https://www.snopes.com/fact-check/disney-child-trafficking/,en,"In March 2022, a rumor was widely circulated on social media that Bob Chapek, the CEO of Disney, had been arrested for human trafficking:",0.0,1.0
5,https://www.snopes.com/fact-check/putin-deepfake-russian-surrender/,en, This article is simply that: a rumor,0.0,1.0
6,https://www.snopes.com/fact-check/zelenskyy-nazi-iron-cross/,en,“…An Iron Cross in isolation (i,0.0,1.0
7,https://www.snopes.com/fact-check/ukraine-were-not-gonna-take-it/,en," Zelenskyy did not make negative comments about Snider and the song, “We’re Not Gonna Take It",0.0,1.0
8,https://www.snopes.com/fact-check/pelosi-read-poem-by-bono-ukraine/,en,Ireland’s sorrow and pain,0.0,0.5
9,https://www.snopes.com/fact-check/reuters-russian-owned/,en," Later that year he left for Paris, where he worked for a short time as a translator",0.33,0.33
10,https://www.snopes.com/fact-check/ukraine-stamp-russian/,en," If you’d like us to investigate a rumor, please drop us a line here",0.0,1.0
11,https://www.snopes.com/fact-check/marjorie-taylor-greene-zelenskyy/,en,"As Zelenskyy is greeted by the US Congress to a standing ovation, Marjorie Taylor Greene refuses to applaud and instead appears to grab her cell phone",0.0,0.5
12,https://www.snopes.com/fact-check/mayim-bialik-cbd-allegations/,en,"We’ve seen this same strategy before with fake CBD endorsements featuring actor Tom Selleck (twice), talk show hosts Oprah Winfrey and Whoopi Goldberg, and late “Jeopardy” host Alex Trebek",0.0,0.5
13,https://www.snopes.com/fact-check/apple-juice-penis-size/,en," Absent surgery, there really isn’t anything that can be done to change the size of a penis",0.0,0.5
14,https://www.snopes.com/news/2022/03/16/zelenskyy-deepfake-shared/,en, The running text at the bottom of this broadcast mentions the message from Zelenskyy’s deepfake video,0.0,1.0
15,https://www.snopes.com/fact-check/biden-putin-invade-russia/,en," 25, right after Russia began invading Ukraine",0.25,0.25
