,text,likes_count,retweet_count,created_at
0,Se a Catarina está tão incomodada que vá para casa dela #bbtvi,6,0,2022-05-17 15:24:11+00:00
1,Estou a adorar a ironia do Nuno #bbtvi,6,0,2022-05-17 15:13:01+00:00
2,Fds a Catarina n pode ser líder #bbtvi,4,0,2022-05-15 22:23:27+00:00
3,Acho bué piada ao Nuno #bbtvi,1,0,2022-05-15 21:04:16+00:00
4,Gostava que houvesse um bbplay que  mostrasse a falsidade da Catarina #bbtvi,4,0,2022-05-15 21:00:54+00:00
5,Não suporto a Catarina #bbtvi,1,0,2022-05-10 21:56:04+00:00
6,O Nuno a dormir tem mais dinâmica que o quinaz acordado #bbtvi,41,1,2022-05-10 21:43:25+00:00
7,Estou a adorar o baile que o Nuno lhes está a dar #bbtvi,28,1,2022-05-10 21:40:34+00:00
8,Esta gala está a ser demasiado boa #bbtvi,3,0,2022-05-08 23:14:33+00:00
9,Mt feliz por a jaciara ir de vela #bbtvi,2,0,2022-05-08 23:01:27+00:00
10,O Cláudio é bué engraçado #bbtvi,2,0,2022-05-08 21:24:40+00:00
11,Atuação da Barbosa digna de um óscar #bbtvi,1,0,2022-05-08 21:19:50+00:00
12,"jaciara a fazer se de vitima para não variar
 #bbtvi",0,0,2022-05-03 19:21:37+00:00
13,Este bom  tempo sabe mesmo bem,0,0,2022-04-17 21:27:24+00:00
